年度,管制編號,事業名稱,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類,地址,緯度,經度
113,H4303235,國瑞汽車股份有限公司中壢工廠,12488060,"10,251.9316","27,158.249","37,410.181",桃園市,,320台灣桃園市中壢區定寧路73號,24.9938099,121.247126
113,H4304929,金像電子股份有限公司中壢廠,30955404,"28,464.0429","59,720.8498","88,184.893",桃園市,印刷電路板製造業,320台灣桃園市中壢區西園路113號,24.9848553,121.2365018
113,H4306058,台灣華可貴股份有限公司中壢第二工廠,44883108,"5,344.5094","17,652.5634","22,997.073",桃園市,未分類其他製造業,320台灣桃園市中壢區吉林北路12號,24.9918952,121.2506906
113,H4312305,名佳利金屬工業股份有限公司中壢二廠,45018531,"4,884.6921","19,563.0464","24,447.739",桃園市,銅製造業,320台灣桃園市中壢區北園路11號,24.9754141,121.2419056
113,H4313348,精材科技股份有限公司中壢廠,16741846,"9,114.1728","9,246.1417","18,360.315",桃園市,其他電子零組件製造業,320台灣桃園市中壢區吉林路23號9樓,24.9795194,121.2450777
113,H43A0700,日月光半導體製造股份有限公司中壢分公司封測五廠,76027628,247.7154,"67,123.1183","67,370.834",桃園市,半導體製造業,320台灣桃園市中壢區中華路一段550號,24.9708138,121.2522347
113,H43A2093,日月光半導體製造股份有限公司中壢分公司封測四廠,76027628,"2,480.9613","15,765.3452","18,246.307",桃園市,半導體製造業,320台灣桃園市中壢區中華路一段550號,24.9708138,121.2522347
113,H43A2855,精材科技股份有限公司中壢二廠,16741846,"3,875.0709","13,577.5925","17,452.663",桃園市,其他電子零組件製造業,320台灣桃園市中壢區中園路188號,24.9824025,121.2375025
113,H43B3840,日月光半導體製造股份有限公司中壢分公司封測六廠,76027628,163.7535,"35,788.9816","35,952.735",桃園市,半導體製造業,320台灣桃園市中壢區中華路一段550號,24.9708138,121.2522347
113,H43C0794,精材科技股份有限公司中壢三廠,16741846,867.6521,"67,378.152","68,245.804",桃園市,其他電子零組件製造業,320台灣桃園市中壢區中園路188號,24.9824025,121.2375025
